,Kraków,Białystok,Bielsko-Biała,Chrzanów,Gdańsk,Gdynia,Gliwice,Gromnik,Katowice,Kielce,Krosno,Krynica,Lublin,Łódź,Malbork,Nowy Targ,Olsztyn,Poznań,Puławy,Radom,Rzeszów,Sandomierz,Szczecin,Szczucin,Szklarska Poręba,Tarnów,Warszawa,Wieliczka,Wrocław,Zakopane,Zamość
Kraków,0.0,499.72969,126.98516000000001,49.49592,596.8683100000001,620.3755,107.12433,113.7436,82.88669,120.82213,187.93414,143.60632999999999,338.41956,281.18113,581.67694,87.87545,518.47694,459.75069,257.2033,200.93314,171.03023000000002,219.60263,648.3455,125.78544000000001,387.23078000000004,86.47287,296.26753,17.81315,272.00016,106.96716,321.97756
Białystok,499.58553,0.0,574.657,538.38788,430.62644,463.97206,520.63775,598.9475600000001,520.84919,383.17616,571.16469,628.81025,347.91213,323.15656,402.85228,598.87713,241.54509,496.05991,312.57446999999996,307.53922,504.79981,435.957,752.55375,471.12838,671.32213,571.67681,197.88688,507.67344,541.47519,617.9688100000001,439.32184
Bielsko-Biała,123.15838000000001,572.8475,0.0,51.02589,587.3315,610.8386899999999,86.17539,233.25469,61.775349999999996,236.06513,307.44521999999995,263.11740999999995,457.93066,271.64425,572.1400600000001,113.62416,542.90244,438.80175,372.44631,316.17616,290.54131,339.11371999999994,627.39656,245.29652,366.28184000000005,205.98395000000002,361.63563,137.32423,251.05122,121.10798,441.48866
Chrzanów,45.44929,536.9873100000001,50.802839999999996,0.0,551.47125,574.97844,61.72722,155.54559,37.489580000000004,158.35604999999998,229.73614,185.40831,380.22156,235.78402,536.2798100000001,125.30238,507.04222,414.35356,294.73722,238.46705,212.83223,261.40463,602.94838,167.58742,341.83369,128.27486,325.77538,59.61514,226.60306,144.39409,363.77956
Gdańsk,594.02794,432.06647,587.09669,550.8275600000001,0.0,33.92763,533.0774399999999,704.12425,533.28888,469.38481,778.3148100000001,733.987,583.52656,335.59625,62.322379999999995,673.88106,183.96763,307.38519,548.18888,504.56753000000003,761.41088,620.7585600000001,366.24603,716.16606,564.77975,676.8535,417.31809000000004,608.1938100000001,480.94097,692.97275,674.93625
Gdynia,621.15225,469.09825,614.2210600000001,577.95188,36.0252,0.0,560.20175,731.2485600000001,560.41319,496.50913,805.43913,761.11131,610.65088,362.72056,92.69537,701.0053800000001,220.99941,334.5095,575.31325,531.69188,788.53519,647.88294,353.51444,743.29044,591.9040600000001,703.97788,444.44244,635.31813,508.06528000000003,720.09706,702.0606300000001
Gliwice,106.54296000000001,520.70141,92.4784,63.34256,535.18538,558.6925600000001,0.0,216.63926999999998,27.1435,219.44972,290.82981,246.50198,441.31525,219.49814,519.99394,186.39606,490.75634,350.82709,355.83088,299.56071999999995,273.92591,322.49828,539.42188,228.68111,278.30722,189.36853,309.4895,120.70881,163.07657999999998,205.48778,424.87325
Gromnik,99.97143,585.1655,221.35613,143.86689,691.23931,714.7465,201.4953,0.0,177.25766000000002,139.00017000000003,69.54822,61.710879999999996,282.90319,375.55209,676.04788,173.03516,646.8103100000001,554.12163,317.42559,286.36897,115.51387,135.37289,742.7164399999999,69.64489999999999,481.60175,30.743380000000002,381.70334,84.08127,366.37113,192.12686,266.46121999999997
Katowice,79.87804,519.73819,61.50768,36.67764,534.22213,557.72931,27.08305,189.97433999999998,0.0,192.7848,264.16490999999996,219.83708,414.65031,218.53492,519.03075,159.73114,489.79313,381.47269,329.16596999999996,272.89581,247.26098000000002,295.83338,570.0675,202.01619,308.95281,162.70363,308.52631,94.04389,193.72219,178.82286,398.20831
Kielce,121.37414,382.97194,237.25244,159.76322,469.71634,493.22353000000004,217.39163,140.99797,193.15397000000002,0.0,181.31903,250.59889,193.99142,154.02910999999997,454.52494,220.66570000000002,401.71919,473.61121999999995,140.44557999999998,84.17541,169.52941,91.42514,730.105,80.56797,497.49809000000005,109.77542,179.50979999999998,129.46205,382.26744,239.75742000000002,217.60398
Krosno,181.19395,572.0113100000001,302.57865999999996,225.08941000000002,772.46181,795.969,282.71781,69.50052000000001,258.48017,181.14377,0.0,110.00739999999999,243.78467,456.77459000000005,757.2704399999999,254.25767000000002,605.61775,635.3441899999999,278.30706,367.59146999999996,55.395379999999996,135.95525,823.939,100.90805,562.8243100000001,75.90704,394.19563,165.30378,447.59366,273.34938,227.34267000000003
Krynica,141.74063,626.9346899999999,263.12531,185.63609,733.0085,756.51569,243.2645,61.70215,219.02686,248.02714,109.9513,0.0,340.17541,417.32128,717.81713,108.21728999999999,688.5795,595.89088,374.69781,328.13815999999997,172.78606,192.64509,784.48569,126.91709,523.3709699999999,88.01558,423.47253,125.85046000000001,408.14034000000004,125.02153,323.73341
Lublin,338.26097,348.0365,459.64565999999996,382.15641,584.46413,607.97131,439.78481,284.93278000000004,415.54719,194.80294,244.70545,351.32556,0.0,304.65275,569.27275,411.32469,381.64297,477.55609000000004,54.33229,114.03677,178.34058,109.49777,734.04994,283.74447,652.81838,254.29647,170.22084,322.37078,522.97141,430.41641,86.94157000000001
Łódź,279.16906,322.66469,272.23784,235.96867,337.14863,360.65581,218.21856,389.26538,218.42998,154.52592,463.45590999999996,419.12809000000004,303.46716,0.0,321.95721999999995,359.02219,292.71963,213.47717,268.1295,224.50813,446.552,241.87194,469.97096999999997,401.30722,351.07481,361.99465999999995,137.25869,293.33494,221.22789,378.11388,394.87688
Malbork,579.68125,403.8355,572.75,536.48081,62.11236,95.45797999999999,518.73072,689.7775600000001,518.94216,455.03809,763.96806,719.64025,569.17988,321.24953000000005,0.0,659.53431,155.73667,293.03846999999996,533.84219,490.22081,747.0641899999999,606.41188,427.77638,701.81938,550.433,662.5068100000001,309.89619,593.84706,466.59425,678.62606,660.58956
Nowy Targ,85.51447999999999,598.125,113.62442999999999,126.28353,673.65594,697.16313,183.91194000000002,184.80952,159.6743,219.21744,259.00006,108.37678,409.4855,357.96871999999996,658.46456,0.0,629.2269399999999,536.53831,444.00788,299.32847,242.09616,290.66853000000003,725.13313,196.85136,464.01840999999996,157.53878,394.66284,76.7183,348.78778000000005,22.30627,393.0435
Olsztyn,518.37716,242.92066,544.43219,508.163,183.14156,216.48717000000002,490.41290999999995,661.4596899999999,490.62431,401.96778,628.5424399999999,691.3224399999999,405.28990999999996,292.93169,155.36739,631.2165,0.0,374.23469,369.95225,326.33088,562.1775600000001,442.52194000000003,548.80556,489.92003000000005,641.0973100000001,634.189,214.47879999999998,565.52925,511.25034000000005,650.30819,496.69963
Poznań,459.19788,497.61406,441.02575,415.99746999999996,311.56328,335.07047,353.25094,569.29419,384.58166,475.09441,643.48469,599.15688,478.41653,215.67225,296.37188000000003,539.051,360.37984,0.0,443.07884,399.45746999999994,626.58081,515.64856,266.89184,581.336,267.79259,542.0234399999999,312.20806,473.36371999999994,183.95382999999998,558.1426899999999,569.82625
